Case ID,Activity,Timestamp,Resource,Verzekeringstype,Kanaal,Risiconiveau,Afwijzingsreden
INS-2025-0073,Intake voltooid,2025-02-03 18:11:59,Yousra B.,Autoverzekering,Telefoon,,
INS-2025-0033,Aanvraag ontvangen,2025-02-03 18:16:17,SYSTEEM,Zorgverzekering,Online portal,,
INS-2025-0244,Documentcontrole goedgekeurd,2025-02-03 18:30:22,Joost H.,Reisverzekering,Telefoon,,
INS-2025-0182,Risicoanalyse gestart,2025-02-03 18:32:09,Nora F.,Zorgverzekering,Online portal,,
INS-2025-0152,Aanvullende info opgevraagd,2025-02-03 18:37:47,Roel V.,Levensverzekering,Online portal,,
INS-2025-0275,Risicoanalyse gestart,2025-02-03 18:39:31,Ahmed T.,Autoverzekering,Online portal,,
INS-2025-0287,Risicoanalyse gestart,2025-02-03 18:53:16,Nora F.,Opstalverzekering,Online portal,,
INS-2025-0198,Documentcontrole goedgekeurd,2025-02-03 18:59:52,Marieke S.,Reisverzekering,Online portal,,
INS-2025-0230,Intake voltooid,2025-02-03 19:07:20,Bas de W.,Levensverzekering,Online portal,,
INS-2025-0043,Intake voltooid,2025-02-03 19:16:11,Bas de W.,Arbeidsongeschiktheid,Online portal,,
INS-2025-0033,Aanvraag geregistreerd,2025-02-03 19:16:58,Bas de W.,Zorgverzekering,Online portal,,
INS-2025-0197,Documentcontrole gestart,2025-02-03 19:20:46,Joost H.,Reisverzekering,Tussenpersoon,,
INS-2025-0051,Aanvraag ontvangen,2025-02-03 19:21:35,SYSTEEM,Reisverzekering,Tussenpersoon,,
INS-2025-0073,Documentcontrole gestart,2025-02-03 19:26:08,Eline P.,Autoverzekering,Telefoon,,
INS-2025-0034,Aanvraag ontvangen,2025-02-03 19:29:46,SYSTEEM,Opstalverzekering,Online portal,,
INS-2025-0194,Documentcontrole goedgekeurd,2025-02-03 19:34:53,Eline P.,Zorgverzekering,Telefoon,,
INS-2025-0221,Intake voltooid,2025-02-03 19:53:24,Bas de W.,Levensverzekering,Telefoon,,
INS-2025-0056,Aanvraag ontvangen,2025-02-03 19:55:25,SYSTEEM,Arbeidsongeschiktheid,E-mail,,
INS-2025-0091,Aanvraag ontvangen,2025-02-03 19:58:26,SYSTEEM,Autoverzekering,Telefoon,,
INS-2025-0034,Aanvraag geregistreerd,2025-02-03 19:59:47,Fatima K.,Opstalverzekering,Online portal,,
INS-2025-0153,Aanvullende info opgevraagd,2025-02-03 20:02:32,Fatima K.,Inboedelverzekering,Tussenpersoon,,
INS-2025-0190,Risicoanalyse gestart,2025-02-03 20:05:30,Saskia L.,Opstalverzekering,Tussenpersoon,,
INS-2025-0237,Aanvraag ontvangen,2025-02-03 20:11:33,SYSTEEM,Levensverzekering,Tussenpersoon,,
INS-2025-0056,Aanvraag geregistreerd,2025-02-03 20:11:37,Fatima K.,Arbeidsongeschiktheid,E-mail,,
INS-2025-0194,Risicoanalyse gestart,2025-02-03 20:23:51,Nora F.,Zorgverzekering,Telefoon,,
INS-2025-0198,Risicoanalyse gestart,2025-02-03 20:28:58,Ahmed T.,Reisverzekering,Online portal,,
INS-2025-0244,Risicoanalyse gestart,2025-02-03 20:28:58,Nora F.,Reisverzekering,Telefoon,,
INS-2025-0230,Documentcontrole gestart,2025-02-03 20:36:09,Marieke S.,Levensverzekering,Online portal,,
INS-2025-0051,Aanvraag geregistreerd,2025-02-03 20:50:35,Bas de W.,Reisverzekering,Tussenpersoon,,
INS-2025-0043,Documentcontrole gestart,2025-02-03 20:58:44,Marieke S.,Arbeidsongeschiktheid,Online portal,,
INS-2025-0221,Documentcontrole gestart,2025-02-03 21:00:20,Eline P.,Levensverzekering,Telefoon,,
INS-2025-0123,Risicoclassificatie vastgesteld,2025-02-03 21:07:26,Nora F.,Levensverzekering,Telefoon,Laag,
INS-2025-0091,Aanvraag geregistreerd,2025-02-03 21:16:19,Fatima K.,Autoverzekering,Telefoon,,
INS-2025-0237,Aanvraag geregistreerd,2025-02-03 21:28:19,Yousra B.,Levensverzekering,Tussenpersoon,,
INS-2025-0068,Aanvraag ontvangen,2025-02-03 21:45:19,SYSTEEM,Inboedelverzekering,Tussenpersoon,,
INS-2025-0027,Aanvraag ontvangen,2025-02-03 21:50:48,SYSTEEM,Levensverzekering,Telefoon,,
INS-2025-0065,Aanvraag ontvangen,2025-02-03 21:55:40,SYSTEEM,Autoverzekering,Telefoon,,
INS-2025-0131,Aanvraag ontvangen,2025-02-03 22:06:21,SYSTEEM,Levensverzekering,Tussenpersoon,,
INS-2025-0033,Aanvullende info opgevraagd,2025-02-03 22:08:14,Yousra B.,Zorgverzekering,Online portal,,
INS-2025-0026,Documentcontrole goedgekeurd,2025-02-03 22:12:54,Eline P.,Arbeidsongeschiktheid,Tussenpersoon,,
INS-2025-0258,Aanvraag ontvangen,2025-02-03 22:20:58,SYSTEEM,Zorgverzekering,Telefoon,,
INS-2025-0027,Aanvraag geregistreerd,2025-02-03 22:25:30,Bas de W.,Levensverzekering,Telefoon,,
INS-2025-0123,Risicoanalyse afgerond,2025-02-03 22:43:45,Ahmed T.,Levensverzekering,Telefoon,,
INS-2025-0258,Aanvraag geregistreerd,2025-02-03 22:44:18,Bas de W.,Zorgverzekering,Telefoon,,
INS-2025-0065,Aanvraag geregistreerd,2025-02-03 23:02:35,Roel V.,Autoverzekering,Telefoon,,
INS-2025-0068,Aanvraag geregistreerd,2025-02-03 23:02:55,Yousra B.,Inboedelverzekering,Tussenpersoon,,
INS-2025-0131,Aanvraag geregistreerd,2025-02-03 23:09:10,Roel V.,Levensverzekering,Tussenpersoon,,
INS-2025-0221,Documentcontrole goedgekeurd,2025-02-03 23:10:47,Eline P.,Levensverzekering,Telefoon,,
INS-2025-0211,Aanvraag ontvangen,2025-02-03 23:25:18,SYSTEEM,Reisverzekering,E-mail,,
INS-2025-0034,Intake voltooid,2025-02-03 23:32:16,Yousra B.,Opstalverzekering,Online portal,,
INS-2025-0043,Document afgekeurd,2025-02-03 23:37:16,Marieke S.,Arbeidsongeschiktheid,Online portal,,
INS-2025-0056,Intake voltooid,2025-02-03 23:41:05,Roel V.,Arbeidsongeschiktheid,E-mail,,
INS-2025-0026,Risicoanalyse gestart,2025-02-03 23:41:34,Dirk M.,Arbeidsongeschiktheid,Tussenpersoon,,
INS-2025-0211,Aanvraag geregistreerd,2025-02-03 23:43:21,Bas de W.,Reisverzekering,E-mail,,
INS-2025-0051,Intake voltooid,2025-02-03 23:55:31,Roel V.,Reisverzekering,Tussenpersoon,,
INS-2025-0027,Intake voltooid,2025-02-04 00:00:04,Roel V.,Levensverzekering,Telefoon,,
INS-2025-0056,Documentcontrole gestart,2025-02-04 00:28:55,Joost H.,Arbeidsongeschiktheid,E-mail,,
INS-2025-0123,Acceptatiebeoordeling gestart,2025-02-04 00:29:23,Frank O.,Levensverzekering,Telefoon,,
INS-2025-0091,Intake voltooid,2025-02-04 00:35:12,Yousra B.,Autoverzekering,Telefoon,,
INS-2025-0122,Risicoclassificatie vastgesteld,2025-02-04 00:35:26,Ahmed T.,Opstalverzekering,Online portal,Laag,
INS-2025-0221,Risicoanalyse gestart,2025-02-04 00:36:35,Ahmed T.,Levensverzekering,Telefoon,,
INS-2025-0027,Documentcontrole gestart,2025-02-04 00:37:01,Marieke S.,Levensverzekering,Telefoon,,
INS-2025-0073,Document afgekeurd,2025-02-04 00:44:11,Eline P.,Autoverzekering,Telefoon,,
INS-2025-0251,Aanvraag ontvangen,2025-02-04 00:50:03,SYSTEEM,Aansprakelijkheidsverzekering,E-mail,,
INS-2025-0051,Documentcontrole gestart,2025-02-04 00:59:59,Eline P.,Reisverzekering,Tussenpersoon,,
INS-2025-0043,Correctie opgevraagd bij klant,2025-02-04 01:06:11,Eline P.,Arbeidsongeschiktheid,Online portal,,
INS-2025-0034,Documentcontrole gestart,2025-02-04 01:07:45,Joost H.,Opstalverzekering,Online portal,,
INS-2025-0237,Intake voltooid,2025-02-04 01:11:10,Yousra B.,Levensverzekering,Tussenpersoon,,
INS-2025-0251,Aanvraag geregistreerd,2025-02-04 01:32:25,Roel V.,Aansprakelijkheidsverzekering,E-mail,,
INS-2025-0111,Aanvraag ontvangen,2025-02-04 01:34:42,SYSTEEM,Arbeidsongeschiktheid,Online portal,,
INS-2025-0258,Intake voltooid,2025-02-04 01:53:54,Bas de W.,Zorgverzekering,Telefoon,,
INS-2025-0111,Aanvraag geregistreerd,2025-02-04 01:53:58,Fatima K.,Arbeidsongeschiktheid,Online portal,,
INS-2025-0070,Aanvraag ontvangen,2025-02-04 02:04:19,SYSTEEM,Arbeidsongeschiktheid,Online portal,,
INS-2025-0237,Documentcontrole gestart,2025-02-04 02:18:56,Joost H.,Levensverzekering,Tussenpersoon,,
INS-2025-0073,Correctie opgevraagd bij klant,2025-02-04 02:22:20,Marieke S.,Autoverzekering,Telefoon,,
INS-2025-0068,Intake voltooid,2025-02-04 02:27:12,Fatima K.,Inboedelverzekering,Tussenpersoon,,
INS-2025-0091,Documentcontrole gestart,2025-02-04 02:27:55,Eline P.,Autoverzekering,Telefoon,,
INS-2025-0160,Aanvraag ontvangen,2025-02-04 02:34:59,SYSTEEM,Autoverzekering,E-mail,,
INS-2025-0227,Aanvraag ontvangen,2025-02-04 02:37:14,SYSTEEM,Opstalverzekering,Tussenpersoon,,
INS-2025-0070,Aanvraag geregistreerd,2025-02-04 02:38:59,Yousra B.,Arbeidsongeschiktheid,Online portal,,
INS-2025-0065,Intake voltooid,2025-02-04 02:53:02,Fatima K.,Autoverzekering,Telefoon,,
INS-2025-0131,Intake voltooid,2025-02-04 02:56:41,Fatima K.,Levensverzekering,Tussenpersoon,,
INS-2025-0197,Documentcontrole goedgekeurd,2025-02-04 03:01:32,Marieke S.,Reisverzekering,Tussenpersoon,,
INS-2025-0068,Documentcontrole gestart,2025-02-04 03:05:45,Marieke S.,Inboedelverzekering,Tussenpersoon,,
INS-2025-0160,Aanvraag geregistreerd,2025-02-04 03:07:31,Yousra B.,Autoverzekering,E-mail,,
INS-2025-0251,Intake voltooid,2025-02-04 03:10:16,Bas de W.,Aansprakelijkheidsverzekering,E-mail,,
INS-2025-0230,Documentcontrole goedgekeurd,2025-02-04 03:13:20,Joost H.,Levensverzekering,Online portal,,
INS-2025-0258,Documentcontrole gestart,2025-02-04 03:18:03,Marieke S.,Zorgverzekering,Telefoon,,
INS-2025-0183,Risicoclassificatie vastgesteld,2025-02-04 03:20:42,Ahmed T.,Aansprakelijkheidsverzekering,Tussenpersoon,Zeer hoog,
INS-2025-0211,Intake voltooid,2025-02-04 03:20:47,Fatima K.,Reisverzekering,E-mail,,
INS-2025-0227,Aanvraag geregistreerd,2025-02-04 03:31:12,Roel V.,Opstalverzekering,Tussenpersoon,,
INS-2025-0197,Risicoanalyse gestart,2025-02-04 03:40:54,Nora F.,Reisverzekering,Tussenpersoon,,
INS-2025-0065,Documentcontrole gestart,2025-02-04 03:43:02,Marieke S.,Autoverzekering,Telefoon,,
INS-2025-0131,Documentcontrole gestart,2025-02-04 03:52:51,Joost H.,Levensverzekering,Tussenpersoon,,
INS-2025-0211,Documentcontrole gestart,2025-02-04 04:03:06,Joost H.,Reisverzekering,E-mail,,
INS-2025-0251,Documentcontrole gestart,2025-02-04 04:09:06,Eline P.,Aansprakelijkheidsverzekering,E-mail,,
INS-2025-0122,Risicoanalyse afgerond,2025-02-04 04:19:18,Ahmed T.,Opstalverzekering,Online portal,,
INS-2025-0111,Aanvullende info opgevraagd,2025-02-04 04:21:17,Roel V.,Arbeidsongeschiktheid,Online portal,,
INS-2025-0056,Documentcontrole goedgekeurd,2025-02-04 04:42:56,Eline P.,Arbeidsongeschiktheid,E-mail,,
INS-2025-0191,Aanvraag ontvangen,2025-02-04 04:49:32,SYSTEEM,Opstalverzekering,Telefoon,,
INS-2025-0230,Risicoanalyse gestart,2025-02-04 05:03:43,Saskia L.,Levensverzekering,Online portal,,
INS-2025-0068,Document afgekeurd,2025-02-04 05:09:14,Eline P.,Inboedelverzekering,Tussenpersoon,,
INS-2025-0070,Intake voltooid,2025-02-04 05:17:34,Fatima K.,Arbeidsongeschiktheid,Online portal,,
INS-2025-0034,Documentcontrole goedgekeurd,2025-02-04 05:19:29,Eline P.,Opstalverzekering,Online portal,,
INS-2025-0056,Risicoanalyse gestart,2025-02-04 05:20:30,Dirk M.,Arbeidsongeschiktheid,E-mail,,
INS-2025-0190,Risicoclassificatie vastgesteld,2025-02-04 05:23:53,Dirk M.,Opstalverzekering,Tussenpersoon,Midden,
INS-2025-0198,Risicoclassificatie vastgesteld,2025-02-04 05:29:12,Nora F.,Reisverzekering,Online portal,Midden,
INS-2025-0227,Aanvullende info opgevraagd,2025-02-04 05:29:29,Bas de W.,Opstalverzekering,Tussenpersoon,,
INS-2025-0191,Aanvraag geregistreerd,2025-02-04 05:34:42,Roel V.,Opstalverzekering,Telefoon,,
INS-2025-0027,Documentcontrole goedgekeurd,2025-02-04 05:39:47,Eline P.,Levensverzekering,Telefoon,,
INS-2025-0070,Documentcontrole gestart,2025-02-04 05:51:41,Marieke S.,Arbeidsongeschiktheid,Online portal,,
INS-2025-0122,Acceptatiebeoordeling gestart,2025-02-04 06:07:30,Pieter dB.,Opstalverzekering,Online portal,,
INS-2025-0183,Aanvullend onderzoek aangevraagd,2025-02-04 06:15:37,Ahmed T.,Aansprakelijkheidsverzekering,Tussenpersoon,,
INS-2025-0131,Documentcontrole goedgekeurd,2025-02-04 06:21:22,Joost H.,Levensverzekering,Tussenpersoon,,
INS-2025-0068,Correctie opgevraagd bij klant,2025-02-04 06:29:41,Joost H.,Inboedelverzekering,Tussenpersoon,,
INS-2025-0160,Intake voltooid,2025-02-04 06:38:13,Bas de W.,Autoverzekering,E-mail,,
INS-2025-0034,Risicoanalyse gestart,2025-02-04 06:40:03,Dirk M.,Opstalverzekering,Online portal,,
INS-2025-0123,Premieberekening gestart,2025-02-04 07:03:32,Bianca V.,Levensverzekering,Telefoon,,
INS-2025-0131,Risicoanalyse gestart,2025-02-04 07:04:44,Saskia L.,Levensverzekering,Tussenpersoon,,
INS-2025-0251,Documentcontrole goedgekeurd,2025-02-04 07:18:27,Eline P.,Aansprakelijkheidsverzekering,E-mail,,
INS-2025-0160,Documentcontrole gestart,2025-02-04 07:21:29,Joost H.,Autoverzekering,E-mail,,
INS-2025-0027,Risicoanalyse gestart,2025-02-04 07:29:19,Ahmed T.,Levensverzekering,Telefoon,,
INS-2025-0190,Risicoanalyse afgerond,2025-02-04 07:34:16,Nora F.,Opstalverzekering,Tussenpersoon,,
INS-2025-0091,Documentcontrole goedgekeurd,2025-02-04 07:48:11,Marieke S.,Autoverzekering,Telefoon,,
INS-2025-0051,Document afgekeurd,2025-02-04 07:50:08,Joost H.,Reisverzekering,Tussenpersoon,,
INS-2025-0191,Intake voltooid,2025-02-04 08:08:52,Roel V.,Opstalverzekering,Telefoon,,
INS-2025-0091,Risicoanalyse gestart,2025-02-04 08:26:40,Nora F.,Autoverzekering,Telefoon,,
INS-2025-0198,Risicoanalyse afgerond,2025-02-04 08:36:09,Dirk M.,Reisverzekering,Online portal,,
INS-2025-0211,Documentcontrole goedgekeurd,2025-02-04 08:36:15,Joost H.,Reisverzekering,E-mail,,
INS-2025-0191,Documentcontrole gestart,2025-02-04 09:06:12,Joost H.,Opstalverzekering,Telefoon,,
INS-2025-0251,Risicoanalyse gestart,2025-02-04 09:17:22,Saskia L.,Aansprakelijkheidsverzekering,E-mail,,
INS-2025-0190,Acceptatiebeoordeling gestart,2025-02-04 09:29:20,Wendy R.,Opstalverzekering,Tussenpersoon,,
INS-2025-0211,Risicoanalyse gestart,2025-02-04 09:51:17,Ahmed T.,Reisverzekering,E-mail,,
INS-2025-0065,Documentcontrole goedgekeurd,2025-02-04 10:10:57,Joost H.,Autoverzekering,Telefoon,,
